NÆo.	As equipes que ficarem em terceiro lugar													1A	1B	1D	1E	1G	1I	1K	1L
311	UM	B			E	F	G	H	EU			L		3E	3G	3B	3F	3A	3H	3L	3I
312	UM	B			E	F	G	H	EU		K			3E	3G	3B	3F	3A	3H	3I	3 mil
313	UM	B			E	F	G	H	EU	J				3H	3J	3B	3F	3A	3G	3E	3I
314	UM	B		D				H	EU	J	K	L		3I	3J	3B	3D	3A	3H	3L	3 mil
315	UM	B		D			G		EU	J	K	L		3I	3J	3B	3D	3A	3G	3L	3 mil
316	UM	B		D			G	H		J	K	L		3H	3J	3B	3D	3A	3G	3L	3 mil
317	UM	B		D			G	H	EU		K	L		3I	3G	3B	3D	3A	3H	3L	3 mil
318	UM	B		D			G	H	EU	J		L		3H	3J	3B	3D	3A	3G	3L	3I
319	UM	B		D			G	H	EU	J	K			3H	3J	3B	3D	3A	3G	3I	3 mil
320	UM	B		D		F			EU	J	K	L		3I	3J	3B	3D	3A	3F	3L	3 mil
321	UM	B		D		F		H		J	K	L		3H	3J	3B	3D	3A	3F	3L	3 mil
322	UM	B		D		F		H	EU		K	L		3H	3I	3B	3D	3A	3F	3L	3 mil
323	UM	B		D		F		H	EU	J		L		3H	3J	3B	3D	3A	3F	3L	3I
324	UM	B		D		F		H	EU	J	K			3H	3J	3B	3D	3A	3F	3I	3 mil
325	UM	B		D		F	G			J	K	L		3F	3J	3B	3D	3A	3G	3L	3 mil
326	UM	B		D		F	G		EU		K	L		3I	3G	3B	3D	3A	3F	3L	3 mil
327	UM	B		D		F	G		EU	J		L		3F	3J	3B	3D	3A	3G	3L	3I
328	UM	B		D		F	G		EU	J	K			3F	3J	3B	3D	3A	3G	3I	3 mil
329	UM	B		D		F	G	H			K	L		3H	3G	3B	3D	3A	3F	3L	3 mil
330	UM	B		D		F	G	H		J		L		3H	3G	3B	3D	3A	3F	3L	3J
331	UM	B		D		F	G	H		J	K			3H	3G	3B	3D	3A	3F	3J	3 mil
332	UM	B		D		F	G	H	EU			L		3H	3G	3B	3D	3A	3F	3L	3I
333	UM	B		D		F	G	H	EU		K			3H	3G	3B	3D	3A	3F	3I	3 mil
334	UM	B		D		F	G	H	EU	J				3H	3G	3B	3D	3A	3F	3I	3J
335	UM	B		D	E				EU	J	K	L		3E	3J	3B	3A	3I	3D	3L	3 mil
336	UM	B		D	E			H		J	K	L		3E	3J	3B	3D	3A	3H	3L	3 mil
337	UM	B		D	E			H	EU		K	L		3E	3I	3B	3D	3A	3H	3L	3 mil
338	UM	B		D	E			H	EU	J		L		3E	3J	3B	3D	3A	3H	3L	3I
339	UM	B		D	E			H	EU	J	K			3E	3J	3B	3D	3A	3H	3I	3 mil
340	UM	B		D	E		G			J	K	L		3E	3J	3B	3D	3A	3G	3L	3 mil
341	UM	B		D	E		G		EU		K	L		3E	3G	3B	3A	3I	3D	3L	3 mil
342	UM	B		D	E		G		EU	J		L		3E	3J	3B	3D	3A	3G	3L	3I
343	UM	B		D	E		G		EU	J	K			3E	3J	3B	3D	3A	3G	3I	3 mil
344	UM	B		D	E		G	H			K	L		3E	3G	3B	3D	3A	3H	3L	3 mil
345	UM	B		D	E		G	H		J		L		3H	3J	3B	3D	3A	3G	3L	3E
346	UM	B		D	E		G	H		J	K			3H	3J	3B	3D	3A	3G	3E	3 mil
347	UM	B		D	E		G	H	EU			L		3E	3G	3B	3D	3A	3H	3L	3I
348	UM	B		D	E		G	H	EU		K			3E	3G	3B	3D	3A	3H	3I	3 mil
349	UM	B		D	E		G	H	EU	J				3H	3J	3B	3D	3A	3G	3E	3I
350	UM	B		D	E	F				J	K	L		3E	3J	3B	3D	3A	3F	3L	3 mil
351	UM	B		D	E	F			EU		K	L		3E	3I	3B	3D	3A	3F	3L	3 mil
352	UM	B		D	E	F			EU	J		L		3E	3J	3B	3D	3A	3F	3L	3I
353	UM	B		D	E	F			EU	J	K			3E	3J	3B	3D	3A	3F	3I	3 mil
354	UM	B		D	E	F		H			K	L		3H	3E	3B	3D	3A	3F	3L	3 mil
355	UM	B		D	E	F		H		J		L		3H	3J	3B	3D	3A	3F	3L	3E
356	UM	B		D	E	F		H		J	K			3H	3J	3B	3D	3A	3F	3E	3 mil
357	UM	B		D	E	F		H	EU			L		3H	3E	3B	3D	3A	3F	3L	3I
358	UM	B		D	E	F		H	EU		K			3H	3E	3B	3D	3A	3F	3I	3 mil
359	UM	B		D	E	F		H	EU	J				3H	3J	3B	3D	3A	3F	3E	3I
360	UM	B		D	E	F	G				K	L		3E	3G	3B	3D	3A	3F	3L	3 mil
361	UM	B		D	E	F	G			J		L		3E	3G	3B	3D	3A	3F	3L	3J
362	UM	B		D	E	F	G			J	K			3E	3G	3B	3D	3A	3F	3J	3 mil
363	UM	B		D	E	F	G		EU			L		3E	3G	3B	3D	3A	3F	3L	3I
364	UM	B		D	E	F	G		EU		K			3E	3G	3B	3D	3A	3F	3I	3 mil
365	UM	B		D	E	F	G		EU	J				3E	3G	3B	3D	3A	3F	3I	3J
366	UM	B		D	E	F	G	H				L		3H	3G	3B	3D	3A	3F	3L	3E
367	UM	B		D	E	F	G	H			K			3H	3G	3B	3D	3A	3F	3E	3 mil
368	UM	B		D	E	F	G	H		J				3H	3G	3B	3D	3A	3F	3E	3J
369	UM	B		D	E	F	G	H	EU					3H	3G	3B	3D	3A	3F	3E	3I
370	UM	B	C					H	EU	J	K	L		3I	3J	3B	3C	3A	3H	3L	3 mil
371	UM	B	C				G		EU	J	K	L		3I	3J	3B	3C	3A	3G	3L	3 mil
372	UM	B	C				G	H		J	K	L		3H	3J	3B	3C	3A	3G	3L	3 mil
373	UM	B	C				G	H	EU		K	L		3I	3G	3B	3C	3A	3H	3L	3 mil
374	UM	B	C				G	H	EU	J		L		3H	3J	3B	3C	3A	3G	3L	3I
375	UM	B	C				G	H	EU	J	K			3H	3J	3B	3C	3A	3G	3I	3 mil
376	UM	B	C			F			EU	J	K	L		3I	3J	3B	3C	3A	3F	3L	3 mil
377	UM	B	C			F		H		J	K	L		3H	3J	3B	3C	3A	3F	3L	3 mil
378	UM	B	C			F		H	EU		K	L		3H	3I	3B	3C	3A	3F	3L	3 mil
379	UM	B	C			F		H	EU	J		L		3H	3J	3B	3C	3A	3F	3L	3I
380	UM	B	C			F		H	EU	J	K			3H	3J	3B	3C	3A	3F	3I	3 mil
381	UM	B	C			F	G			J	K	L		3C	3J	3B	3F	3A	3G	3L	3 mil
382	UM	B	C			F	G		EU		K	L		3I	3G	3B	3C	3A	3F	3L	3 mil
383	UM	B	C			F	G		EU	J		L		3C	3J	3B	3F	3A	3G	3L	3I
384	UM	B	C			F	G		EU	J	K			3C	3J	3B	3F	3A	3G	3I	3 mil
385	UM	B	C			F	G	H			K	L		3H	3G	3B	3C	3A	3F	3L	3 mil
386	UM	B	C			F	G	H		J		L		3H	3G	3B	3C	3A	3F	3L	3J
387	UM	B	C			F	G	H		J	K			3H	3G	3B	3C	3A	3F	3J	3 mil
388	UM	B	C			F	G	H	EU			L		3H	3G	3B	3C	3A	3F	3L	3I
389	UM	B	C			F	G	H	EU		K			3H	3G	3B	3C	3A	3F	3I	3 mil
390	UM	B	C			F	G	H	EU	J				3H	3G	3B	3C	3A	3F	3I	3J
391	UM	B	C		E				EU	J	K	L		3E	3J	3B	3A	3I	3C	3L	3 mil
392	UM	B	C		E			H		J	K	L		3E	3J	3B	3C	3A	3H	3L	3 mil
393	UM	B	C		E			H	EU		K	L		3E	3I	3B	3C	3A	3H	3L	3 mil
394	UM	B	C		E			H	EU	J		L		3E	3J	3B	3C	3A	3H	3L	3I
395	UM	B	C		E			H	EU	J	K			3E	3J	3B	3C	3A	3H	3I	3 mil
396	UM	B	C		E		G			J	K	L		3E	3J	3B	3C	3A	3G	3L	3 mil
397	UM	B	C		E		G		EU		K	L		3E	3G	3B	3A	3I	3C	3L	3 mil
398	UM	B	C		E		G		EU	J		L		3E	3J	3B	3C	3A	3G	3L	3I
399	UM	B	C		E		G		EU	J	K			3E	3J	3B	3C	3A	3G	3I	3 mil
400	UM	B	C		E		G	H			K	L		3E	3G	3B	3C	3A	3H	3L	3 mil
401	UM	B	C		E		G	H		J		L		3H	3J	3B	3C	3A	3G	3L	3E
402	UM	B	C		E		G	H		J	K			3H	3J	3B	3C	3A	3G	3E	3 mil
403	UM	B	C		E		G	H	EU			L		3E	3G	3B	3C	3A	3H	3L	3I
404	UM	B	C		E		G	H	EU		K			3E	3G	3B	3C	3A	3H	3I	3 mil
405	UM	B	C		E		G	H	EU	J				3H	3J	3B	3C	3A	3G	3E	3I
406	UM	B	C		E	F				J	K	L		3E	3J	3B	3C	3A	3F	3L	3 mil
407	UM	B	C		E	F			EU		K	L		3E	3I	3B	3C	3A	3F	3L	3 mil
408	UM	B	C		E	F			EU	J		L		3E	3J	3B	3C	3A	3F	3L	3I
409	UM	B	C		E	F			EU	J	K			3E	3J	3B	3C	3A	3F	3I	3 mil
410	UM	B	C		E	F		H			K	L		3H	3E	3B	3C	3A	3F	3L	3 mil
411	UM	B	C		E	F		H		J		L		3H	3J	3B	3C	3A	3F	3L	3E
412	UM	B	C		E	F		H		J	K			3H	3J	3B	3C	3A	3F	3E	3 mil
413	UM	B	C		E	F		H	EU			L		3H	3E	3B	3C	3A	3F	3L	3I
414	UM	B	C		E	F		H	EU		K			3H	3E	3B	3C	3A	3F	3I	3 mil
415	UM	B	C		E	F		H	EU	J				3H	3J	3B	3C	3A	3F	3E	3I
416	UM	B	C		E	F	G				K	L		3E	3G	3B	3C	3A	3F	3L	3 mil
417	UM	B	C		E	F	G			J		L		3E	3G	3B	3C	3A	3F	3L	3J
418	UM	B	C		E	F	G			J	K			3E	3G	3B	3C	3A	3F	3J	3 mil
419	UM	B	C		E	F	G		EU			L		3E	3G	3B	3C	3A	3F	3L	3I
420	UM	B	C		E	F	G		EU		K			3E	3G	3B	3C	3A	3F	3I	3 mil
421	UM	B	C		E	F	G		EU	J				3E	3G	3B	3C	3A	3F	3I	3J
422	UM	B	C		E	F	G	H				L		3H	3G	3B	3C	3A	3F	3L	3E
423	UM	B	C		E	F	G	H			K			3H	3G	3B	3C	3A	3F	3E	3 mil
424	UM	B	C		E	F	G	H		J				3H	3G	3B	3C	3A	3F	3E	3J
425	UM	B	C		E	F	G	H	EU					3H	3G	3B	3C	3A	3F	3E	3I
426	UM	B	C	D					EU	J	K	L		3I	3J	3B	3C	3A	3D	3L	3 mil
427	UM	B	C	D				H		J	K	L		3H	3J	3B	3C	3A	3D	3L	3 mil
428	UM	B	C	D				H	EU		K	L		3H	3I	3B	3C	3A	3D	3L	3 mil
429	UM	B	C	D				H	EU	J		L		3H	3J	3B	3C	3A	3D	3L	3I
430	UM	B	C	D				H	EU	J	K			3H	3J	3B	3C	3A	3D	3I	3 mil
431	UM	B	C	D			G			J	K	L		3C	3J	3B	3D	3A	3G	3L	3 mil
432	UM	B	C	D			G		EU		K	L		3I	3G	3B	3C	3A	3D	3L	3 mil
433	UM	B	C	D			G		EU	J		L		3C	3J	3B	3D	3A	3G	3L	3I
434	UM	B	C	D			G		EU	J	K			3C	3J	3B	3D	3A	3G	3I	3 mil
435	UM	B	C	D			G	H			K	L		3H	3G	3B	3C	3A	3D	3L	3 mil
436	UM	B	C	D			G	H		J		L		3H	3G	3B	3C	3A	3D	3L	3J
437	UM	B	C	D			G	H		J	K			3H	3G	3B	3C	3A	3D	3J	3 mil
438	UM	B	C	D			G	H	EU			L		3H	3G	3B	3C	3A	3D	3L	3I
439	UM	B	C	D			G	H	EU		K			3H	3G	3B	3C	3A	3D	3I	3 mil
440	UM	B	C	D			G	H	EU	J				3H	3G	3B	3C	3A	3D	3I	3J
441	UM	B	C	D		F				J	K	L		3C	3J	3B	3D	3A	3F	3L	3 mil
442	UM	B	C	D		F			EU		K	L		3C	3I	3B	3D	3A	3F	3L	3 mil
443	UM	B	C	D		F			EU	J		L		3C	3J	3B	3D	3A	3F	3L	3I
444	UM	B	C	D		F			EU	J	K			3C	3J	3B	3D	3A	3F	3I	3 mil
445	UM	B	C	D		F		H			K	L		3H	3F	3B	3C	3A	3D	3L	3 mil
446	UM	B	C	D		F		H		J		L		3C	3J	3B	3D	3A	3F	3L	3H
447	UM	B	C	D		F		H		J	K			3H	3J	3B	3C	3A	3F	3D	3 mil
448	UM	B	C	D		F		H	EU			L		3H	3F	3B	3C	3A	3D	3L	3I
449	UM	B	C	D		F		H	EU		K			3H	3F	3B	3C	3A	3D	3I	3 mil
450	UM	B	C	D		F		H	EU	J				3H	3J	3B	3C	3A	3F	3D	3I
451	UM	B	C	D		F	G				K	L		3C	3G	3B	3D	3A	3F	3L	3 mil
452	UM	B	C	D		F	G			J		L		3C	3G	3B	3D	3A	3F	3L	3J
453	UM	B	C	D		F	G			J	K			3C	3G	3B	3D	3A	3F	3J	3 mil
454	UM	B	C	D		F	G		EU			L		3C	3G	3B	3D	3A	3F	3L	3I
455	UM	B	C	D		F	G		EU		K			3C	3G	3B	3D	3A	3F	3I	3 mil
456	UM	B	C	D		F	G		EU	J				3C	3G	3B	3D	3A	3F	3I	3J
457	UM	B	C	D		F	G	H				L		3C	3G	3B	3D	3A	3F	3L	3H
458	UM	B	C	D		F	G	H			K			3H	3G	3B	3C	3A	3F	3D	3 mil
459	UM	B	C	D		F	G	H		J				3H	3G	3B	3C	3A	3F	3D	3J
460	UM	B	C	D		F	G	H	EU					3H	3G	3B	3C	3A	3F	3D	3I
461	UM	B	C	D	E					J	K	L		3E	3J	3B	3C	3A	3D	3L	3 mil
462	UM	B	C	D	E				EU		K	L		3E	3I	3B	3C	3A	3D	3L	3 mil
463	UM	B	C	D	E				EU	J		L		3E	3J	3B	3C	3A	3D	3L	3I
464	UM	B	C	D	E				EU	J	K			3E	3J	3B	3C	3A	3D	3I	3 mil
465	UM	B	C	D	E			H			K	L		3H	3E	3B	3C	3A	3D	3L	3 mil
466	UM	B	C	D	E			H		J		L		3H	3J	3B	3C	3A	3D	3L	3E
467	UM	B	C	D	E			H		J	K			3H	3J	3B	3C	3A	3D	3E	3 mil
468	UM	B	C	D	E			H	EU			L		3H	3E	3B	3C	3A	3D	3L	3I
469	UM	B	C	D	E			H	EU		K			3H	3E	3B	3C	3A	3D	3I	3 mil
470	UM	B	C	D	E			H	EU	J				3H	3J	3B	3C	3A	3D	3E	3I
471	UM	B	C	D	E		G				K	L		3E	3G	3B	3C	3A	3D	3L	3 mil
472	UM	B	C	D	E		G			J		L		3E	3G	3B	3C	3A	3D	3L	3J
473	UM	B	C	D	E		G			J	K			3E	3G	3B	3C	3A	3D	3J	3 mil
474	UM	B	C	D	E		G		EU			L		3E	3G	3B	3C	3A	3D	3L	3I
475	UM	B	C	D	E		G		EU		K			3E	3G	3B	3C	3A	3D	3I	3 mil
476	UM	B	C	D	E		G		EU	J				3E	3G	3B	3C	3A	3D	3I	3J
477	UM	B	C	D	E		G	H				L		3H	3G	3B	3C	3A	3D	3L	3E
478	UM	B	C	D	E		G	H			K			3H	3G	3B	3C	3A	3D	3E	3 mil
479	UM	B	C	D	E		G	H		J				3H	3G	3B	3C	3A	3D	3E	3J
480	UM	B	C	D	E		G	H	EU					3H	3G	3B	3C	3A	3D	3E	3I
481	UM	B	C	D	E	F					K	L		3C	3E	3B	3D	3A	3F	3L	3 mil
482	UM	B	C	D	E	F				J		L		3C	3J	3B	3D	3A	3F	3L	3E
483	UM	B	C	D	E	F				J	K			3C	3J	3B	3D	3A	3F	3E	3 mil
484	UM	B	C	D	E	F			EU			L		3C	3E	3B	3D	3A	3F	3L	3I
485	UM	B	C	D	E	F			EU		K			3C	3E	3B	3D	3A	3F	3I	3 mil
486	UM	B	C	D	E	F			EU	J				3C	3J	3B	3D	3A	3F	3E	3I
487	UM	B	C	D	E	F		H				L		3H	3F	3B	3C	3A	3D	3L	3E
488	UM	B	C	D	E	F		H			K			3H	3E	3B	3C	3A	3F	3D	3 mil
489	UM	B	C	D	E	F		H		J				3H	3J	3B	3C	3A	3F	3D	3E
490	UM	B	C	D	E	F		H	EU					3H	3E	3B	3C	3A	3F	3D	3I
491	UM	B	C	D	E	F	G					L		3C	3G	3B	3D	3A	3F	3L	3E
492	UM	B	C	D	E	F	G				K			3C	3G	3B	3D	3A	3F	3E	3 mil
493	UM	B	C	D	E	F	G			J				3C	3G	3B	3D	3A	3F	3E	3J
494	UM	B	C	D	E	F	G		EU					3C	3G	3B	3D	3A	3F	3E	3I
495	UM	B	C	D	E	F	G	H						3H	3G	3B	3C	3A	3F	3D	3E
